,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    18.239918
PS32K           9.417349
PS8K            4.441093
PS16K           3.410324
PS1K            2.791471
dtype: float64","count     327.000000
mean      388.905831
std       401.394780
min         1.290278
25%        30.362028
50%       276.293861
75%       674.895571
max      1261.329518
Name: % error, dtype: float64",5
1,Lasso,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.1,"HAVE_CRYPTO    17.889275
PS32K           9.360981
PS8K            3.790966
PS16K           3.377445
PS1K            2.431642
dtype: float64","count     327.000000
mean      369.577426
std       368.769518
min         0.005861
25%        31.445823
50%       273.549783
75%       671.953727
max      1160.215034
Name: % error, dtype: float64",5
2,Ridge,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",Ridge(alpha=0.5),Performance,0.1,"HAVE_CRYPTO    17.038259
PS32K           8.765195
PS8K            3.677743
PS16K           3.242730
PS1K            2.812966
dtype: float64","count     327.000000
mean      342.498446
std       343.025625
min         2.090047
25%        33.770934
50%       265.086857
75%       617.439199
max      1107.764782
Name: % error, dtype: float64",5
3,ElasticNet,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.0, max_iter=100)",Performance,0.1,"HAVE_CRYPTO    16.567164
PS32K           8.497520
PS8K            3.409529
PS16K           3.164301
PS1K            2.820995
dtype: float64","count     327.000000
mean      324.177324
std       322.089303
min         3.684855
25%        35.112490
50%       217.801293
75%       579.356115
max      1044.960645
Name: % error, dtype: float64",5
4,PolynomialRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    2.666342
PS32K          0.725402
PS16K          0.310497
PS8K           0.119152
PS1K           0.024576
dtype: float64","count    327.000000
mean      18.275958
std       27.145012
min        0.003878
25%        1.366060
50%        8.177124
75%       20.053710
max      114.354704
Name: % error, dtype: float64",5
5,RandomForest,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",RandomForestRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    327.000000
mean      38.105550
std       70.688588
min        0.507292
25%        3.939786
50%       10.221612
75%       22.516125
max      318.356455
Name: % error, dtype: float64",5
6,GradientBoostingTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
4           PS1K
3           PS8K
Name: feature, dtype: object","count    327.000000
mean      19.348698
std       25.507911
min        0.007115
25%        2.591212
50%       11.475767
75%       22.164596
max      111.950928
Name: % error, dtype: float64",5
7,DecisionTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    327.000000
mean      18.275958
std       27.145012
min        0.003878
25%        1.366060
50%        8.177124
75%       20.053710
max      114.354704
Name: % error, dtype: float64",5
8,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO    14.977851
PS32K          14.720714
PS16K           6.130947
PS1K            3.773865
PS8K            0.350101
dtype: float64","count     291.000000
mean      433.769654
std       489.717728
min         4.961656
25%        27.095583
50%       333.363558
75%       565.884039
max      1768.140171
Name: % error, dtype: float64",5
9,Lasso,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","Lasso(alpha=0.2, max_iter=5)",Performance,0.2,"HAVE_CRYPTO    14.268278
PS32K          13.393488
PS16K           4.673978
PS1K            3.488967
dtype: float64","count     291.000000
mean      363.934446
std       416.971923
min        11.870436
25%        30.397958
50%       277.901609
75%       410.745856
max      1466.569907
Name: % error, dtype: float64",5
10,Ridge,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",Ridge(alpha=2),Performance,0.2,"HAVE_CRYPTO    13.670484
PS32K          11.980263
PS1K            4.560712
PS16K           4.367028
PS8K            1.125102
dtype: float64","count     291.000000
mean      340.766864
std       417.131334
min        10.856846
25%        32.792964
50%       161.664775
75%       416.612901
max      1456.758318
Name: % error, dtype: float64",5
11,ElasticNet,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=5)",Performance,0.2,"HAVE_CRYPTO    12.890474
PS32K          10.912740
PS1K            4.604357
PS16K           3.811187
PS8K            1.139250
dtype: float64","count     291.000000
mean      294.681877
std       385.243029
min         0.176627
25%        14.176692
50%       128.745444
75%       402.223526
max      1260.953928
Name: % error, dtype: float64",5
12,PolynomialRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.2,"PS32K          1.619168e+14
PS8K           2.192891e+13
HAVE_CRYPTO    1.772091e+13
PS1K           7.777856e+12
PS16K          1.653074e+12
dtype: float64","count    291.000000
mean      17.978080
std       28.048712
min        0.005665
25%        2.392914
50%        6.169493
75%       20.991910
max      121.352687
Name: % error, dtype: float64",5
13,RandomForest,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",RandomForestRegressor(),Performance,0.2,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    291.000000
mean      26.925950
std       41.003928
min        0.246803
25%        2.213743
50%        8.399082
75%       24.910539
max      149.797443
Name: % error, dtype: float64",5
14,GradientBoostingTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
4           PS1K
3           PS8K
Name: feature, dtype: object","count    291.000000
mean      18.415198
std       23.114698
min        0.053510
25%        2.000435
50%       12.264582
75%       25.497307
max      101.837722
Name: % error, dtype: float64",5
15,DecisionTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    291.000000
mean      17.822718
std       25.292124
min        0.015234
25%        2.134162
50%        7.144755
75%       19.141991
max      106.485337
Name: % error, dtype: float64",5
16,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.3,"PS32K          16.474773
HAVE_CRYPTO    15.187399
PS16K           7.301775
PS1K            2.946346
PS8K            1.592376
dtype: float64","count     255.000000
mean      489.264419
std       557.263990
min         5.194411
25%        25.634971
50%       315.357413
75%       797.301842
max      1936.277933
Name: % error, dtype: float64",5
