,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.1,"ref_1            206.354954
ref_9            179.268588
no_mixed_refs     69.087708
ref_5             27.086366
dtype: float64","count    191.000000
mean       9.490409
std        6.819113
min        0.023371
25%        4.684857
50%        9.742048
75%       12.867179
max       38.600029
Name: % error, dtype: float64",4
1,Lasso,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=10, max_iter=5)",Performance,0.1,"ref_9    110.182216
ref_1      9.623883
dtype: float64","count    191.000000
mean      25.133626
std       26.172746
min        0.191794
25%        7.007998
50%       13.102676
75%       28.496791
max       89.327307
Name: % error, dtype: float64",4
2,Ridge,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(alpha=2),Performance,0.1,"ref_9            96.459955
ref_1            81.337938
no_mixed_refs    36.258748
ref_5            15.122017
dtype: float64","count    191.000000
mean      19.052124
std       18.780354
min        0.004388
25%        5.070419
50%       13.441171
75%       21.393702
max       70.127881
Name: % error, dtype: float64",4
3,ElasticNet,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=10, l1_ratio=1.0, max_iter=5)",Performance,0.1,"ref_9    110.182216
ref_1      9.623883
dtype: float64","count    191.000000
mean      25.133626
std       26.172746
min        0.191794
25%        7.007998
50%       13.102676
75%       28.496791
max       89.327307
Name: % error, dtype: float64",4
4,PolynomialRegression,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.1,"ref_1            101.540694
ref_9             83.905556
no_mixed_refs     17.814389
ref_5             17.635139
dtype: float64","count    191.000000
mean       9.146421
std        6.379156
min        0.023371
25%        4.126185
50%        7.713697
75%       13.449332
max       27.647962
Name: % error, dtype: float64",4
5,RandomForest,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",RandomForestRegressor(),Performance,0.1,"0            ref_1
1            ref_9
2            ref_5
3    no_mixed_refs
Name: feature, dtype: object","count    191.000000
mean      14.599997
std       11.799003
min        0.313809
25%        5.005713
50%       11.661385
75%       19.513464
max       48.089151
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0            ref_1
2            ref_5
1            ref_9
3    no_mixed_refs
Name: feature, dtype: object","count    191.000000
mean       8.529352
std        6.053412
min        0.020832
25%        4.055304
50%        7.210358
75%       13.036853
max       26.807601
Name: % error, dtype: float64",4
7,DecisionTree,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0            ref_1
1            ref_9
3    no_mixed_refs
2            ref_5
Name: feature, dtype: object","count    191.000000
mean       8.529836
std        6.053305
min        0.023371
25%        4.055340
50%        7.210928
75%       13.036810
max       26.808294
Name: % error, dtype: float64",4
8,LinearRegression,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.2,"ref_9            1.743568e+16
ref_5            1.743568e+16
ref_1            1.743568e+16
no_mixed_refs    8.000000e+01
dtype: float64","count    170.000000
mean       9.675503
std        7.360303
min        0.021597
25%        4.418471
50%        8.596254
75%       13.059976
max       41.080839
Name: % error, dtype: float64",4
9,Lasso,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=2, max_iter=10)",Performance,0.2,"ref_1            190.787401
ref_9            157.752308
no_mixed_refs     67.754905
dtype: float64","count    170.000000
mean       9.173173
std        4.582990
min        0.184509
25%        5.798156
50%        8.749660
75%       12.562973
max       26.359241
Name: % error, dtype: float64",4
10,Ridge,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(alpha=0.5),Performance,0.2,"ref_1            179.770043
ref_9            168.571162
no_mixed_refs     73.609041
ref_5             11.198881
dtype: float64","count    170.000000
mean       9.256262
std        4.750047
min        0.087210
25%        5.766193
50%        8.666645
75%       12.177898
max       27.795043
Name: % error, dtype: float64",4
11,ElasticNet,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=100)",Performance,0.2,"ref_1            174.532585
ref_9            163.869063
no_mixed_refs     70.912109
ref_5             10.544409
dtype: float64","count    170.000000
mean       9.318139
std        4.690145
min        0.285168
25%        5.726979
50%        8.680324
75%       13.121582
max       25.298311
Name: % error, dtype: float64",4
12,PolynomialRegression,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.2,"ref_1            7.702727e+15
ref_9            1.583995e+15
ref_5            1.517501e+15
no_mixed_refs    6.203162e+14
dtype: float64","count    170.000000
mean       8.144661
std        4.638649
min        0.330538
25%        4.863193
50%        8.080162
75%       11.701228
max       19.747201
Name: % error, dtype: float64",4
13,RandomForest,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",RandomForestRegressor(),Performance,0.2,"0            ref_1
1            ref_9
2            ref_5
3    no_mixed_refs
Name: feature, dtype: object","count    170.000000
mean       7.906043
std        4.575591
min        0.102650
25%        5.044744
50%        6.971897
75%       11.457572
max       20.224036
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"0            ref_1
2            ref_5
1            ref_9
3    no_mixed_refs
Name: feature, dtype: object","count    170.000000
mean       7.970970
std        4.536051
min        0.029912
25%        4.924116
50%        7.427199
75%       11.588304
max       20.083407
Name: % error, dtype: float64",4
15,DecisionTree,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"0            ref_1
1            ref_9
3    no_mixed_refs
2            ref_5
Name: feature, dtype: object","count    170.000000
mean       7.970997
std        4.536178
min        0.028112
25%        4.923942
50%        7.426420
75%       11.588467
max       20.082788
Name: % error, dtype: float64",4
16,LinearRegression,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.3,"ref_1            1.568096e+16
ref_5            1.568096e+16
ref_9            1.568096e+16
no_mixed_refs    8.100000e+01
dtype: float64","count    149.000000
mean       9.607380
std        7.500970
min        0.010337
25%        5.730524
50%        7.259852
75%       12.202194
max       41.735497
Name: % error, dtype: float64",4
17,Lasso,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=0.8, max_iter=10)",Performance,0.3,"ref_1            197.792129
ref_9            163.168069
no_mixed_refs     73.257110
dtype: float64","count    149.000000
mean       8.878972
std        5.236911
min        1.100002
25%        5.569782
50%        7.545361
75%       11.475145
max       31.531849
Name: % error, dtype: float64",4
18,Ridge,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(alpha=0.2),Performance,0.3,"ref_1            187.458875
ref_9            175.780508
no_mixed_refs     76.628067
ref_5             11.678367
dtype: float64","count    149.000000
mean       8.903883
std        5.487640
min        0.891112
25%        5.504154
50%        7.698900
75%       11.210732
max       32.826272
Name: % error, dtype: float64",4
19,ElasticNet,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=0.8, l1_ratio=1.0, max_iter=10)",Performance,0.3,"ref_1            197.792129
ref_9            163.168069
no_mixed_refs     73.257110
dtype: float64","count    149.000000
mean       8.878972
std        5.236911
min        1.100002
25%        5.569782
50%        7.545361
75%       11.475145
max       31.531849
Name: % error, dtype: float64",4
20,PolynomialRegression,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.3,"ref_1            1.593500e+16
ref_9            1.051045e+16
ref_5            9.226915e+15
no_mixed_refs    1.284823e+15
dtype: float64","count    149.000000
mean       7.915712
std        4.197812
min        0.327437
25%        5.238480
50%        7.397200
75%       10.295727
max       18.830375
Name: % error, dtype: float64",4
21,RandomForest,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",RandomForestRegressor(),Performance,0.3,"0            ref_1
1            ref_9
2            ref_5
3    no_mixed_refs
Name: feature, dtype: object","count    149.000000
mean       7.486196
std        4.243365
min        0.182876
25%        4.984847
50%        6.957963
75%       10.313465
max       20.135422
Name: % error, dtype: float64",4
22,GradientBoostingTree,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",GradientBoostingRegressor(),Performance,0.3,"0            ref_1
2            ref_5
1            ref_9
3    no_mixed_refs
Name: feature, dtype: object","count    149.000000
mean       7.577192
std        4.071769
min        0.345040
25%        5.148467
50%        7.168724
75%       10.322946
max       20.251543
Name: % error, dtype: float64",4
23,DecisionTree,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",DecisionTreeRegressor(),Performance,0.3,"0            ref_1
1            ref_9
3    no_mixed_refs
2            ref_5
Name: feature, dtype: object","count    149.000000
mean       7.577236
std        4.071921
min        0.343133
25%        5.148397
50%        7.168656
75%       10.323332
max       20.250945
Name: % error, dtype: float64",4
24,LinearRegression,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.4,"ref_1            184.308829
ref_9            173.664698
no_mixed_refs     69.579721
ref_5             10.644131
dtype: float64","count    128.000000
mean       8.750427
std        4.740868
min        1.269924
25%        5.781031
50%        7.646935
75%       11.639085
max       29.698454
Name: % error, dtype: float64",4
25,Lasso,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.4,"ref_1            219.443229
ref_9            138.444837
no_mixed_refs     69.529533
ref_5             24.496397
dtype: float64","count    128.000000
mean       8.749788
std        4.739130
min        1.257157
25%        5.780801
50%        7.650564
75%       11.647860
max       29.679106
Name: % error, dtype: float64",4
26,Ridge,False,RandomForest,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(alpha=0.01),Performance,0.4,"ref_1            184.203769
ref_9            173.564850
no_mixed_refs     69.531293
ref_5             10.638919
dtype: float64","count    128.000000
mean       8.751237
std        4.732856
min        1.262112
25%        5.785270
50%        7.650020
75%       11.659760
max       29.651747
Name: % error, dtype: float64",4
